Date,Value,Year,
01/08/1995,1986.15,1995,
01/09/1995,2027.6,1995,
01/10/1995,2006.85,1995,
01/11/1995,2052.73,1995,
01/12/1995,2040.08,1995,
01/01/1996,2043.28,1996,
01/02/1996,2114.3,1996,
01/03/1996,2105.88,1996,
01/04/1996,2267.94,1996,
01/05/1996,2363.76,1996,
01/06/1996,2251.54,1996,
01/07/1996,2048.8,1996,
01/08/1996,2160.86,1996,
01/09/1996,2315.2,1996,
01/10/1996,2297.66,1996,
01/11/1996,2426.23,1996,
01/12/1996,2423.26,1996,
01/01/1997,2581.7,1997,
01/02/1997,2441.29,1997,
01/03/1997,2273.58,1997,
01/04/1997,2342.49,1997,
01/05/1997,2604.6,1997,
01/06/1997,2677.92,1997,
01/07/1997,2956.52,1997,
01/08/1997,2938.13,1997,
01/09/1997,3113.47,1997,
01/10/1997,2935.43,1997,
01/11/1997,2949.81,1997,
01/12/1997,2898.87,1997,
01/01/1998,2982.86,1998,
01/02/1998,3255.97,1998,
01/03/1998,3368.47,1998,
01/04/1998,3422.93,1998,
01/05/1998,3253.55,1998,
01/06/1998,3459.8,1998,
01/07/1998,3415.24,1998,
01/08/1998,2731.63,1998,
01/09/1998,3082.79,1998,
01/10/1998,3215.07,1998,
01/11/1998,3538.42,1998,
01/12/1998,3981.93,1998,
01/01/1999,4540.67,1999,
01/02/1999,4141.33,1999,
01/03/1999,4440.37,1999,
01/04/1999,4554.26,1999,
01/05/1999,4424.7,1999,
01/06/1999,4810.84,1999,
01/07/1999,4712.34,1999,
01/08/1999,4881.52,1999,
01/09/1999,4868.94,1999,
01/10/1999,5250.58,1999,
01/11/1999,5901.67,1999,
01/12/1999,7198.61,1999,
01/01/2000,6950.78,2000,
01/02/2000,8233.3,2000,
01/03/2000,7952.15,2000,
01/04/2000,6709.83,2000,
01/05/2000,5903.98,2000,
01/06/2000,6849.47,2000,
01/07/2000,6490.52,2000,
01/08/2000,7247.54,2000,
01/09/2000,6295.21,2000,
01/10/2000,5765.44,2000,
01/11/2000,4442.46,2000,
01/12/2000,4227.06,2000,
01/01/2001,4713.64,2001,
01/02/2001,3643.05,2001,
01/03/2001,3110.04,2001,
01/04/2001,3561.63,2001,
01/05/2001,3535.07,2001,
01/06/2001,3614.58,2001,
01/07/2001,3399.5,2001,
01/08/2001,3027.71,2001,
01/09/2001,2503,2001,
01/10/2001,2831.09,2001,
01/11/2001,3239.51,2001,
01/12/2001,3286.42,2001,
01/01/2002,3251.1,2002,
01/02/2002,2898.51,2002,
01/03/2002,3072.51,2002,
01/04/2002,2795.71,2002,
01/05/2002,2675.65,2002,
01/06/2002,2421.61,2002,
01/07/2002,2195.61,2002,
01/08/2002,2166.87,2002,
01/09/2002,1928.04,2002,
01/10/2002,2183.45,2002,
01/11/2002,2428.16,2002,
01/12/2002,2198.25,2002,
01/01/2003,2163.65,2003,
01/02/2003,2174.81,2003,
01/03/2003,2167.33,2003,
01/04/2003,2372.18,2003,
01/05/2003,2588.57,2003,
01/06/2003,2630.56,2003,
01/07/2003,2809,2003,
01/08/2003,2920.26,2003,
01/09/2003,2873.4,2003,
01/10/2003,3108.93,2003,
01/11/2003,3163.86,2003,
01/12/2003,3235.44,2003,
01/01/2004,3322.37,2004,
01/02/2004,3245.68,2004,
01/03/2004,3168.82,2004,
01/04/2004,3041.52,2004,
01/05/2004,3127.13,2004,
01/06/2004,3212.98,2004,
01/07/2004,2966.93,2004,
01/08/2004,2887.66,2004,
01/09/2004,2974.25,2004,
01/10/2004,3080.98,2004,
01/11/2004,3268.93,2004,
01/12/2004,3402.39,2004,
01/01/2005,3219.42,2005,
01/02/2005,3184.27,2005,
01/03/2005,3078.81,2005,
01/04/2005,2940.12,2005,
01/05/2005,3166.44,2005,
01/06/2005,3149.21,2005,
01/07/2005,3329.68,2005,
01/08/2005,3262.57,2005,
01/09/2005,3223.23,2005,
01/10/2005,3169.85,2005,
01/11/2005,3364.86,2005,
01/12/2005,3336.65,2005,
01/01/2006,3461.04,2006,
01/02/2006,3417.52,2006,
01/03/2006,3486.29,2006,
01/04/2006,3430.44,2006,
01/05/2006,3202.95,2006,
01/06/2006,3186.46,2006,
01/07/2006,3059.82,2006,
01/08/2006,3188.28,2006,
01/09/2006,3313.12,2006,
01/10/2006,3490.9,2006,
01/11/2006,3591.72,2006,
01/12/2006,3562.55,2006,
01/01/2007,3624.44,2007,
01/02/2007,3534.83,2007,
01/03/2007,3511.38,2007,
01/04/2007,3636.13,2007,
01/05/2007,3729.67,2007,
01/06/2007,3720.02,2007,
01/07/2007,3638.62,2007,
01/08/2007,3717.99,2007,
01/09/2007,3857.74,2007,
01/10/2007,4074.25,2007,
01/11/2007,3767.92,2007,
01/12/2007,3758.28,2007,
01/01/2008,3369.7,2008,
01/02/2008,3193.7,2008,
01/03/2008,3177.07,2008,
01/04/2008,3344.14,2008,
01/05/2008,3466.13,2008,
01/06/2008,3120.75,2008,
01/07/2008,3146.47,2008,
01/08/2008,3217.46,2008,
01/09/2008,2847.05,2008,
01/10/2008,2366.31,2008,
01/11/2008,2151.33,2008,
01/12/2008,2233.07,2008,
01/01/2009,2081.75,2009,
01/02/2009,1933.11,2009,
01/03/2009,2140.03,2009,
01/04/2009,2397.35,2009,
01/05/2009,2469.87,2009,
01/06/2009,2532.36,2009,
01/07/2009,2734.29,2009,
01/08/2009,2770.49,2009,
01/09/2009,2924.69,2009,
01/10/2009,2816.12,2009,
01/11/2009,2950.97,2009,
01/12/2009,3129.16,2009,
01/01/2010,2950.46,2010,
01/02/2010,3075.37,2010,
01/03/2010,3280.41,2010,
01/04/2010,3361.99,2010,
01/05/2010,3080.86,2010,
01/06/2010,2881.22,2010,
01/07/2010,3079.92,2010,
01/08/2010,2883.54,2010,
01/09/2010,3228.43,2010,
01/10/2010,3412.59,2010,
01/11/2010,3400.09,2010,
01/12/2010,3602.6,2010,
