Date,Open
Oct,19172.38086
Oct,19207.73438
Oct,19567.76953
Oct,19344.96484
Oct,20092.23633
Oct,20772.80273
Oct,20287.95703
Oct,20595.10352
Oct,20817.98242
Oct,20633.69531
Nov,20494.89844
Nov,20482.95898
Nov,20162.68945
Nov,20208.76953
Nov,21144.83203
Nov,21285.05664
Nov,20924.62109
Nov,20600.67188
Nov,18543.76172
Nov,15883.1582
Nov,17583.25195
Nov,17036.875
Nov,16799.72266
Nov,16352.02832
Nov,16617.48438
Nov,16884.3418
Nov,16670.42578
Nov,16687.91211
Nov,16696.2207
Nov,16712.91992
Nov,16291.22363
Nov,15782.30078
Nov,16195.58887
Nov,16611.63672
Nov,16602.26953
Nov,16521.57617
Nov,16463.88281
Nov,16440.22266
Nov,16217.63965
Nov,16445.47656
Dec,17168.00195
Dec,16968.68359
Dec,17090.09766
Dec,16908.16992
Dec,17128.89453
Dec,16975.23828
Dec,17089.50586
Dec,16847.34961
Dec,17232.14844
Dec,17134.2207
Dec,17129.71094
Dec,17102.5
Dec,17206.44141
Dec,17782.06641
Dec,17813.64453
Dec,17364.54688
Dec,16646.98242
Dec,16795.60938
Dec,16759.04102
Dec,16441.78711
Dec,16904.52734
Dec,16818.38086
Dec,16829.64453
Dec,16796.97656
Dec,16847.50586
Dec,16842.25
Dec,16919.29102
Dec,16716.40039
Dec,16552.32227
Dec,16641.33008
Dec,16603.67383
Jan,16547.91406
Jan,16625.50977
Jan,16688.84766
Jan,16680.20508
Jan,16863.47266
Jan,16836.47266
Jan,16952.11719
Jan,null
Jan,17118.86133
