,Date,AMZN,GOOG,MSFT,AAPL,AMZN_z_norm,GOOG_z_norm,MSFT_z_norm,AAPL_z_norm
0,2013-01-14,13.636500358581545,18.013729095458984,22.172748565673828,15.41067600250244,-1.1353042272083997,-1.1820002964433427,-1.053515326158846,-0.9239812993323084
1,2013-01-15,13.595000267028809,18.055572509765625,22.43660926818848,14.924477577209473,-1.1360845036729088,-1.1808093192289901,-1.0506137994922777,-0.933836178722013
2,2013-01-16,13.446499824523926,17.8129825592041,22.29643440246582,15.543963432312012,-1.1388765794472115,-1.1877140880758243,-1.0521552230805604,-0.9212796625589159
3,2013-01-17,13.52400016784668,17.716594696044922,22.46959686279297,15.439239501953123,-1.137419433411539,-1.1904575484426447,-1.0502510536021217,-0.9234023385060476
4,2013-01-18,13.605999946594238,17.546979904174805,22.46959686279297,15.356925010681152,-1.1358776898862177,-1.195285246078743,-1.0502510536021217,-0.9250707918397278
5,2013-01-22,13.509499549865724,17.506132125854492,22.38713836669922,15.503427505493164,-1.1376920711457716,-1.1964478847888613,-1.0511578029703337,-0.9221012955568199
6,2013-01-23,13.405500411987305,18.46827507019043,22.766437530517575,15.787226676940918,-1.139647442244475,-1.1690626834939402,-1.046986864941527,-0.9163488980581435
7,2013-01-24,13.67300033569336,18.784839630126957,22.782930374145508,13.836588859558104,-1.1346179619007852,-1.160052396355491,-1.0468055024834653,-0.9558868714930033
8,2013-01-25,14.19950008392334,18.771390914916992,22.98907470703125,13.51041030883789,-1.1247188183870471,-1.1604351833159432,-1.0445386500369676,-0.9624982673956523
9,2013-01-28,13.802000045776367,18.698165893554688,23.013811111450195,13.816010475158691,-1.1321925350176094,-1.162519366296899,-1.0442666378109235,-0.9563039799938566
10,2013-01-29,13.017499923706056,18.771638870239254,23.096267700195312,14.075237274169922,-1.146942550228494,-1.1604281258340456,-1.0433599094167438,-0.9510496461541378
11,2013-01-30,13.637999534606934,18.775375366210938,22.964336395263672,14.031003952026367,-1.1352760399990467,-1.1603217750106838,-1.0448106832370443,-0.9519462225971158
12,2013-01-31,13.274999618530272,18.821701049804688,22.634504318237305,13.989850044250488,-1.1421010921985932,-1.1590032202389546,-1.0484376597358598,-0.9527803816080216
13,2013-02-01,13.25,19.31759262084961,23.03030204772949,13.932416915893556,-1.142571130052271,-1.144888799327317,-1.044085296326894,-0.9539445082762433
14,2013-02-04,12.99899959564209,18.904640197753903,22.62626266479492,13.585347175598145,-1.1472903897159241,-1.1566425468325865,-1.0485282885298097,-0.9609793530073145
15,2013-02-05,13.344499588012695,19.07201385498047,22.675737380981445,14.062028884887695,-1.1407943676001109,-1.1518786379751764,-1.047984243103689,-0.9513173703517844
16,2013-02-06,13.111000061035156,19.182350158691406,22.54380416870117,14.046979904174805,-1.145184579249236,-1.1487381671074646,-1.0494350378980217,-0.9516224019646987
17,2013-02-07,13.011500358581545,19.27649688720703,22.49433135986328,14.46464729309082,-1.1470553528582905,-1.1460584955193325,-1.04997906235011,-0.9431565955600402
18,2013-02-08,13.09749984741211,19.560930252075195,22.71696281433105,14.67348861694336,-1.1454384075797714,-1.1379627494581457,-1.0475309103676478,-0.938923537715575
19,2013-02-11,12.86050033569336,19.487455368041992,22.972579956054688,14.826407432556152,-1.1498944252456431,-1.140054044209321,-1.0447200334690618,-0.9358239873964385
20,2013-02-12,12.9350004196167,19.444616317749023,22.98907470703125,14.454767227172852,-1.1484936894902662,-1.141273359927908,-1.0445386500369676,-0.9433568571259332
21,2013-02-13,13.47350025177002,19.498414993286133,23.112756729125977,14.427271842956545,-1.1383689227861402,-1.1397421035094546,-1.0431785889067469,-0.9439141680531786
22,2013-02-14,13.461999893188477,19.62195205688477,23.121007919311523,14.414294242858888,-1.1385851502400772,-1.136225903163188,-1.043087855242635,-0.9441772143262166
23,2013-02-15,13.25450038909912,19.74822807312012,23.096267700195312,14.215656280517578,-1.1424865146318275,-1.1326317447861158,-1.0433599094167438,-0.948203457644283
24,2013-02-19,13.487500190734863,20.09592628479004,23.32074546813965,14.21040153503418,-1.1381056987191536,-1.1227353093629608,-1.0408914545709298,-0.9483099674153324
25,2013-02-20,13.320500373840332,19.737518310546875,23.17109489440918,13.866255760192873,-1.1412455960500918,-1.1329365737157626,-1.0425370771521176,-0.9552855455478487
26,2013-02-21,13.29699993133545,19.81398200988769,22.85516166687012,13.780065536499023,-1.1416874466944165,-1.130760209163562,-1.0460112158769195,-0.957032557086528
27,2013-02-22,13.270999908447266,19.918092727661133,23.07964515686035,13.926806449890137,-1.142176293951791,-1.1277969353797979,-1.0435426981090081,-0.9540582282368755
28,2013-02-25,12.993499755859377,19.69542694091797,22.75539779663086,13.679354667663574,-1.1473937966092695,-1.1341346084120125,-1.0471082626409907,-0.9590738912702158
29,2013-02-26,12.968000411987305,19.67948532104492,22.75539779663086,13.869965553283691,-1.1478732301993984,-1.134588350209695,-1.0471082626409907,-0.9552103508093039
30,2013-02-27,13.162500381469728,19.919836044311523,23.121206283569336,13.73403549194336,-1.144216280470938,-1.1277473158532267,-1.0430856739432666,-0.9579655517524928
31,2013-02-28,13.213500022888184,19.955202102661133,23.11289596557617,13.636106491088867,-1.1432573953598857,-1.126740701781364,-1.0431770578023825,-0.9599504995474054
32,2013-03-01,13.286999702453612,20.079486846923828,23.23760414123535,13.29844856262207,-1.1418754690082056,-1.1232032204127604,-1.0418057126427367,-0.9667945738736697
33,2013-03-04,13.655500411987305,20.46080780029297,23.403892517089844,12.976543426513672,-1.1349469919845185,-1.1123497904443138,-1.0399771335770256,-0.9733193508499899
